('Total Revenue', '395,760,000.00', '391,035,000.00', '383,285,000.00', '394,328,000.00', '365,817,000.00')
         723125 function calls (698444 primitive calls) in 1.674 seconds

   Ordered by: call count

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
105332/105328    0.009    0.000    0.009    0.000 {built-in method builtins.isinstance}
    82551    0.007    0.000    0.007    0.000 {method 'append' of 'list' objects}
79003/72602    0.006    0.000    0.007    0.000 {built-in method builtins.len}
    30154    0.005    0.000    0.007    0.000 _parser.py:167(__getitem__)
    25920    0.003    0.000    0.003    0.000 _parser.py:239(__next)
    20079    0.003    0.000    0.003    0.000 {method 'get' of 'dict' objects}
    16986    0.003    0.000    0.005    0.000 _parser.py:260(get)
    14947    0.008    0.000    0.011    0.000 element.py:238(__setitem__)
    14724    0.001    0.000    0.001    0.000 {built-in method builtins.min}
    13526    0.002    0.000    0.002    0.000 _parser.py:255(match)
    12962    0.002    0.000    0.002    0.000 _parser.py:163(__len__)
    11888    0.001    0.000    0.001    0.000 _lxml.py:187(_getNsTag)
     9292    0.001    0.000    0.001    0.000 {built-in method builtins.ord}
     8637    0.001    0.000    0.001    0.000 typing.py:2367(cast)
     8496    0.004    0.000    0.018    0.000 __init__.py:826(endData)
     8152    0.004    0.000    0.004    0.000 element.py:376(setup)
     7606    0.001    0.000    0.002    0.000 _parser.py:175(append)
     6553    0.001    0.000    0.001    0.000 {method 'items' of 'dict' objects}
     6299    0.001    0.000    0.001    0.000 _parser.py:112(__init__)
6251/6183    0.001    0.000    0.001    0.000 {method 'join' of 'str' objects}
6066/6044    0.001    0.000    0.005    0.000 typing.py:426(inner)
     5627    0.001    0.000    0.001    0.000 {method 'rstrip' of 'str' objects}
 5621/206    0.010    0.000    0.023    0.000 _compiler.py:37(_compile)
 5589/408    0.004    0.000    0.005    0.000 _parser.py:177(getwidth)
 4816/217    0.014    0.000    0.042    0.000 _parser.py:511(_parse)
     4618    0.000    0.000    0.000    0.000 {method 'startswith' of 'str' objects}
     4442    0.001    0.000    0.001    0.000 _parser.py:292(tell)
     4278    0.000    0.000    0.001    0.000 {built-in method builtins.max}
     4012    0.001    0.000    0.001    0.000 __init__.py:1065(handle_data)
     3891    0.002    0.000    0.003    0.000 _lxml.py:442(data)
     3823    0.000    0.000    0.000    0.000 {method 'add' of 'set' objects}
     3791    0.000    0.000    0.000    0.000 {method 'find' of 'bytearray' objects}
     3663    0.001    0.000    0.003    0.000 {built-in method builtins.next}
     3395    0.000    0.000    0.000    0.000 element.py:2763(descendants)
3362/3336    0.003    0.000    0.004    0.000 {built-in method __new__ of type object at 0x10191fcf0}
     3329    0.001    0.000    0.003    0.000 filter.py:717(match)
     3312    0.001    0.000    0.001    0.000 {method 'lower' of 'str' objects}
     3258    0.000    0.000    0.000    0.000 {method 'endswith' of 'str' objects}
     3210    0.000    0.000    0.000    0.000 {method 'pop' of 'list' objects}
     2807    0.001    0.000    0.001    0.000 {method 'match' of 're.Pattern' objects}
     2762    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:491(_verbose_message)
     2752    0.000    0.000    0.000    0.000 __init__.py:290(can_be_empty_element)
     2752    0.002    0.000    0.003    0.000 __init__.py:809(pushTag)
     2752    0.000    0.000    0.001    0.000 __init__.py:636(set_up_substitutions)
     2752    0.003    0.000    0.018    0.000 element.py:1618(__init__)
     2751    0.002    0.000    0.007    0.000 __init__.py:1053(handle_endtag)
     2751    0.000    0.000    0.000    0.000 _lxml.py:401(_prefix_for_namespace)
     2751    0.003    0.000    0.019    0.000 _lxml.py:412(end)
     2751    0.002    0.000    0.002    0.000 __init__.py:786(popTag)
     2751    0.002    0.000    0.005    0.000 __init__.py:950(_popToTag)
     2751    0.006    0.000    0.036    0.000 __init__.py:987(handle_starttag)
     2751    0.007    0.000    0.012    0.000 __init__.py:382(_replace_cdata_list_attribute_values)
     2751    0.012    0.000    0.061    0.000 _lxml.py:312(start)
     2700    0.002    0.000    0.005    0.000 element.py:1291(__new__)
     2700    0.002    0.000    0.003    0.000 __init__.py:732(string_container)
     2700    0.002    0.000    0.006    0.000 __init__.py:867(object_was_parsed)
     2637    0.000    0.000    0.000    0.000 {method 'keys' of 'dict' objects}
     2628    0.001    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:131(_path_join)
     2481    0.000    0.000    0.001    0.000 css_parser.py:307(match)
2470/2464    0.000    0.000    0.002    0.000 {built-in method builtins.getattr}
     2175    0.001    0.000    0.001    0.000 {method 'findall' of 're.Pattern' objects}
     1705    0.000    0.000    0.000    0.000 element.py:2219(__bool__)
     1705    0.001    0.000    0.002    0.000 filter.py:538(matches_tag)
     1655    0.000    0.000    0.000    0.000 {built-in method _sre.unicode_iscased}
     1652    0.000    0.000    0.000    0.000 filter.py:259(_base_match)
     1583    0.000    0.000    0.000    0.000 {built-in method builtins.hasattr}
     1554    0.000    0.000    0.000    0.000 {method 'rpartition' of 'str' objects}
     1440    0.001    0.000    0.001    0.000 __init__.py:906(_linkage_fixer)
     1405    0.000    0.000    0.001    0.000 _parser.py:171(__setitem__)
     1394    0.000    0.000    0.000    0.000 {built-in method _imp.acquire_lock}
     1394    0.000    0.000    0.000    0.000 {built-in method _imp.release_lock}
 1313/206    0.003    0.000    0.043    0.000 _parser.py:451(_parse_sub)
     1247    0.000    0.000    0.000    0.000 filter.py:292(matches_string)
     1104    0.000    0.000    0.000    0.000 {built-in method builtins.setattr}
     1075    0.001    0.000    0.001    0.000 _parser.py:311(_class_escape)
     1045    0.000    0.000    0.001    0.000 _compiler.py:401(_simple)
     1027    0.000    0.000    0.000    0.000 {built-in method fromkeys}
      998    0.000    0.000    0.000    0.000 {method 'isupper' of 'str' objects}
      988    0.002    0.000    0.002    0.000 {built-in method posix.stat}
      985    0.000    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:145(_path_stat)
      968    0.000    0.000    0.001    0.000 _parser.py:448(_uniq)
      959    0.000    0.000    0.000    0.000 typing.py:1294(_is_dunder)
      942    0.000    0.000    0.000    0.000 {built-in method _sre.unicode_tolower}
      929    0.001    0.000    0.001    0.000 _compiler.py:214(_compile_charset)
      929    0.004    0.000    0.005    0.000 _compiler.py:241(_optimize_charset)
      909    0.000    0.000    0.000    0.000 enum.py:1585(_get_value)
      897    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:1222(__enter__)
      897    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:1226(__exit__)
      836    0.000    0.000    0.001    0.000 _parser.py:371(_escape)
      825    0.000    0.000    0.001    0.000 typing.py:1368(__setattr__)
      813    0.000    0.000    0.000    0.000 _parser.py:82(groups)
      790    0.000    0.000    0.000    0.000 {method 'group' of 're.Match' objects}
      757    0.000    0.000    0.000    0.000 {method 'extend' of 'list' objects}
      732    0.000    0.000    0.000    0.000 {built-in method builtins.chr}
  714/657    0.000    0.000    0.000    0.000 {built-in method builtins.hash}
      714    0.000    0.000    0.001    0.000 filter.py:623(_match_attribute_value_helper)
      676    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:139(<genexpr>)
      636    0.000    0.000    0.000    0.000 {method 'end' of 're.Match' objects}
      605    0.000    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:1500(_path_importer_cache)
      592    0.000    0.000    0.000    0.000 ssl.py:1117(_checkClosed)
      567    0.000    0.000    0.000    0.000 {method '__exit__' of '_thread.RLock' objects}
      545    0.000    0.000    0.000    0.000 {built-in method posix.fspath}
  543/538    0.004    0.000    0.032    0.000 {built-in method builtins.__build_class__}
      542    0.000    0.000    0.000    0.000 {built-in method _thread.get_ident}
      529    0.000    0.000    0.000    0.000 {built-in method from_bytes}
      514    0.000    0.000    0.000    0.000 {method 'get' of 'mappingproxy' objects}
      508    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:67(_relax_case)
      508    0.002    0.000    0.009    0.000 <frozen importlib._bootstrap_external>:1624(find_spec)
      507    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:89(_unpack_uint32)
      502    0.000    0.000    0.000    0.000 typing.py:1096(__eq__)
      492    0.000    0.000    0.000    0.000 element.py:2160(get)
    478/6    0.000    0.000    0.205    0.034 <frozen importlib._bootstrap>:480(_call_with_frames_removed)
      472    0.001    0.000    0.002    0.000 css_types.py:41(__init__)
      462    0.000    0.000    0.000    0.000 css_types.py:73(__hash__)
      432    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:645(parent)
      427    0.000    0.000    0.000    0.000 {method 'pop' of 'dict' objects}
      415    0.000    0.000    0.000    0.000 _parser.py:264(getwhile)
      412    0.000    0.000    0.000    0.000 _compiler.py:573(isstring)
      405    0.000    0.000    0.001    0.000 filter.py:612(_attribute_match)
      405    0.000    0.000    0.000    0.000 filter.py:321(matches_tag)
      383    0.000    0.000    0.000    0.000 typing.py:1427(<genexpr>)
      370    0.000    0.000    0.000    0.000 _compiler.py:431(_get_iscased)
      364    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:632(cached)
      357    0.000    0.000    0.000    0.000 typing.py:1437(__eq__)
      352    0.000    0.000    0.000    0.000 {method 'rfind' of 'str' objects}
      349    0.000    0.000    0.000    0.000 enum.py:47(_is_dunder)
      338    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:137(_path_split)
      338    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:513(cache_from_source)
      331    0.000    0.000    0.000    0.000 enum.py:825(__setattr__)
      325    0.001    0.000    0.002    0.000 css_parser.py:1094(selector_iter)
      321    0.000    0.000    0.000    0.000 enum.py:695(__call__)
      321    0.000    0.000    0.000    0.000 enum.py:1152(__new__)
      311    0.000    0.000    0.000    0.000 css_parser.py:302(get_name)
      310    0.000    0.000    0.000    0.000 {method 'sub' of 're.Pattern' objects}
      308    0.000    0.000    0.000    0.000 enum.py:78(_is_private)
      308    0.000    0.000    0.000    0.000 enum.py:58(_is_sunder)
      308    0.000    0.000    0.000    0.000 css_parser.py:238(css_unescape)
      306    0.000    0.000    0.001    0.000 typing.py:164(_type_convert)
      302    0.000    0.000    0.000    0.000 {method 'setdefault' of 'dict' objects}
      297    0.000    0.000    0.000    0.000 {method '__exit__' of 'memoryview' objects}
      296    0.000    0.000    0.000    0.000 socket.py:744(readable)
      295    0.000    0.000    0.000    0.000 {method '_checkClosed' of '_io._IOBase' objects}
      295    0.000    0.000    0.000    0.000 {method '_checkReadable' of '_io._IOBase' objects}
      295    0.001    0.000    1.231    0.004 socket.py:706(readinto)
      295    1.228    0.004    1.228    0.004 {method 'read' of '_ssl._SSLSocket' objects}
      295    0.000    0.000    1.229    0.004 ssl.py:1129(read)
      295    0.001    0.000    1.230    0.004 ssl.py:1289(recv_into)
      294    0.000    0.000    0.001    0.000 typing.py:173(_type_check)
      288    0.000    0.000    0.000    0.000 typing.py:1765(__eq__)
      286    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:155(_path_is_mode_type)
      277    0.000    0.000    0.000    0.000 enum.py:37(_is_descriptor)
      276    0.001    0.000    0.001    0.000 _compiler.py:389(_mk_bitmap)
      276    0.000    0.000    0.000    0.000 {method 'translate' of 'bytearray' objects}
      273    0.000    0.000    0.000    0.000 css_parser.py:334(match)
      273    0.001    0.000    0.074    0.000 __init__.py:330(_compile)
      272    0.000    0.000    0.000    0.000 {method 'remove' of 'list' objects}
      271    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:79(__init__)
      271    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:173(__exit__)
      271    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:74(__new__)
      271    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:158(__init__)
      271    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:82(remove)
      271    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:124(setdefault)
      271    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:162(__enter__)
      271    0.000    0.000    0.000    0.000 {built-in method _weakref._remove_dead_weakref}
      271    0.001    0.000    0.002    0.000 <frozen importlib._bootstrap>:304(acquire)
      271    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:372(release)
      271    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:426(_get_module_lock)
      268    0.000    0.000    0.074    0.000 __init__.py:287(compile)
      267    0.000    0.000    0.000    0.000 _compiler.py:31(_combine_flags)
      266    0.000    0.000    0.000    0.000 enum.py:1213(__init__)
      264    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:164(_path_isfile)
      257    0.000    0.000    0.000    0.000 hmac.py:19(<genexpr>)
      257    0.000    0.000    0.000    0.000 hmac.py:20(<genexpr>)
      251    0.000    0.000    0.000    0.000 socket.py:94(<lambda>)
      250    0.000    0.000    0.000    0.000 socket.py:89(<lambda>)
      249    0.000    0.000    0.000    0.000 socket.py:84(<lambda>)
      248    0.000    0.000    0.000    0.000 {built-in method builtins.any}
      248    0.000    0.000    0.000    0.000 socket.py:79(<lambda>)
  234/191    0.000    0.000    0.000    0.000 _compiler.py:439(_get_literal_prefix)
    230/3    0.001    0.000    0.207    0.069 <frozen importlib._bootstrap>:1349(_find_and_load)
      228    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:420(__exit__)
      228    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:412(__init__)
      228    0.000    0.000    0.002    0.000 <frozen importlib._bootstrap>:416(__enter__)
      228    0.028    0.000    0.462    0.002 {method 'read' of '_io.BufferedReader' objects}
    228/3    0.000    0.000    0.207    0.069 <frozen importlib._bootstrap>:1304(_find_and_load_unlocked)
      227    0.000    0.000    0.000    0.000 {built-in method _thread.allocate_lock}
      226    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:445(cb)
      226    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:599(__init__)
      226    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:982(find_spec)
      226    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:232(__init__)
      226    0.000    0.000    0.000    0.000 {built-in method _imp.is_builtin}
      226    0.000    0.000    0.000    0.000 _virtualenv.py:52(find_spec)
      226    0.001    0.000    0.013    0.000 <frozen importlib._bootstrap>:1240(_find_spec)
