('Total Revenue', '395,760,000.00', '391,035,000.00', '383,285,000.00', '394,328,000.00', '365,817,000.00')
         623404 function calls (602584 primitive calls) in 6.977 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    5.005    5.005    5.005    5.005 {built-in method time.sleep}
      925    1.240    0.001    1.240    0.001 {method 'read' of '_ssl._SSLSocket' objects}
        1    0.317    0.317    0.318    0.318 {built-in method _socket.getaddrinfo}
        1    0.096    0.096    0.096    0.096 {method 'do_handshake' of '_ssl._SSLSocket' objects}
        1    0.057    0.057    0.057    0.057 {method 'connect' of '_socket.socket' objects}
        1    0.016    0.016    0.105    0.105 _lxml.py:477(feed)
       76    0.013    0.000    0.490    0.006 {method 'read' of '_io.BufferedReader' objects}
     2733    0.012    0.000    0.064    0.000 _lxml.py:312(start)
 4422/164    0.011    0.000    0.034    0.000 _parser.py:511(_parse)
     2733    0.008    0.000    0.013    0.000 __init__.py:382(_replace_cdata_list_attribute_values)
    14861    0.008    0.000    0.011    0.000 element.py:238(__setitem__)
 4907/155    0.008    0.000    0.019    0.000 _compiler.py:37(_compile)
    96602    0.008    0.000    0.008    0.000 {built-in method builtins.isinstance}
       19    0.007    0.000    0.007    0.000 {built-in method _imp.create_dynamic}
     2733    0.006    0.000    0.038    0.000 __init__.py:987(handle_starttag)
    72169    0.006    0.000    0.006    0.000 {method 'append' of 'list' objects}
68776/63267    0.006    0.000    0.006    0.000 {built-in method builtins.len}
       75    0.005    0.000    0.005    0.000 {built-in method marshal.loads}
     8438    0.004    0.000    0.019    0.000 __init__.py:826(endData)
        1    0.004    0.004    0.004    0.004 {method 'set_default_verify_paths' of '_ssl._SSLContext' objects}
    24849    0.004    0.000    0.006    0.000 _parser.py:167(__getitem__)
     8112    0.004    0.000    0.004    0.000 element.py:376(setup)
     2734    0.004    0.000    0.019    0.000 element.py:1618(__init__)
      925    0.004    0.000    1.247    0.001 ssl.py:1289(recv_into)
        1    0.003    0.003    0.028    0.028 dammit.py:128(_populate_class_variables)
 4814/295    0.003    0.000    0.004    0.000 _parser.py:177(getwidth)
     2733    0.003    0.000    0.019    0.000 _lxml.py:412(end)
 1018/155    0.003    0.000    0.034    0.000 _parser.py:451(_parse_sub)
      925    0.003    0.000    1.252    0.001 socket.py:706(readinto)
      563    0.003    0.000    0.004    0.000 _compiler.py:241(_optimize_charset)
    19/16    0.003    0.000    0.007    0.000 {built-in method _imp.exec_dynamic}
    19168    0.003    0.000    0.003    0.000 {method 'get' of 'dict' objects}
  309/308    0.003    0.000    0.027    0.000 {built-in method builtins.__build_class__}
     2733    0.002    0.000    0.005    0.000 __init__.py:950(_popToTag)
     2689    0.002    0.000    0.006    0.000 __init__.py:867(object_was_parsed)
     2689    0.002    0.000    0.004    0.000 element.py:1291(__new__)
        1    0.002    0.002    0.002    0.002 {built-in method _scproxy._get_proxies}
    11390    0.002    0.000    0.003    0.000 _parser.py:260(get)
     2734    0.002    0.000    0.003    0.000 __init__.py:809(pushTag)
    18645    0.002    0.000    0.002    0.000 _parser.py:239(__next)
     2689    0.002    0.000    0.003    0.000 __init__.py:732(string_container)
3125/3121    0.002    0.000    0.002    0.000 {built-in method __new__ of type object at 0x100e33cf0}
      925    0.002    0.000    1.242    0.001 ssl.py:1129(read)
     3873    0.002    0.000    0.003    0.000 _lxml.py:442(data)
     2733    0.002    0.000    0.002    0.000 __init__.py:786(popTag)
     2733    0.002    0.000    0.007    0.000 __init__.py:1053(handle_endtag)
5975/5956    0.001    0.000    0.004    0.000 typing.py:426(inner)
    11007    0.001    0.000    0.002    0.000 _parser.py:163(__len__)
       75    0.001    0.000    0.001    0.000 {built-in method _io.open_code}
     9847    0.001    0.000    0.002    0.000 _parser.py:255(match)
      472    0.001    0.000    0.002    0.000 css_types.py:41(__init__)
     2166    0.001    0.000    0.001    0.000 {method 'findall' of 're.Pattern' objects}
    11813    0.001    0.000    0.001    0.000 _lxml.py:187(_getNsTag)
     4583    0.001    0.000    0.001    0.000 {method 'join' of 'str' objects}
       32    0.001    0.000    0.009    0.000 filter.py:129(filter)
     1434    0.001    0.000    0.001    0.000 __init__.py:906(_linkage_fixer)
     1691    0.001    0.000    0.005    0.000 filter.py:538(matches_tag)
     6507    0.001    0.000    0.002    0.000 _parser.py:175(append)
      925    0.001    0.000    0.002    0.000 {method '_checkReadable' of '_io._IOBase' objects}
     3304    0.001    0.000    0.006    0.000 filter.py:717(match)
     6422    0.001    0.000    0.001    0.000 {method 'items' of 'dict' objects}
      469    0.001    0.000    0.001    0.000 {built-in method posix.stat}
      100    0.001    0.000    0.002    0.000 _compiler.py:470(_get_charset_prefix)
     3992    0.001    0.000    0.001    0.000 __init__.py:1065(handle_data)
     2784    0.001    0.000    0.001    0.000 {method 'match' of 're.Pattern' objects}
       16    0.001    0.000    0.002    0.000 enum.py:1749(convert_class)
      218    0.001    0.000    0.059    0.000 __init__.py:330(_compile)
      399    0.001    0.000    0.003    0.000 filter.py:612(_attribute_match)
