('Total Revenue', '395,760,000.00', '391,035,000.00', '383,285,000.00', '394,328,000.00', '365,817,000.00')
         623145 function calls (602333 primitive calls) in 4.242 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      888    3.629    0.004    3.629    0.004 {method 'read' of '_ssl._SSLSocket' objects}
        1    0.255    0.255    0.256    0.256 {built-in method _socket.getaddrinfo}
        1    0.061    0.061    0.061    0.061 {method 'do_handshake' of '_ssl._SSLSocket' objects}
        1    0.047    0.047    0.047    0.047 {method 'connect' of '_socket.socket' objects}
        1    0.014    0.014    0.085    0.085 _lxml.py:477(feed)
       19    0.014    0.001    0.014    0.001 {built-in method _imp.create_dynamic}
       76    0.013    0.000    2.875    0.038 {method 'read' of '_io.BufferedReader' objects}
 4422/164    0.011    0.000    0.034    0.000 _parser.py:511(_parse)
     2735    0.010    0.000    0.051    0.000 _lxml.py:312(start)
 4907/155    0.008    0.000    0.019    0.000 _compiler.py:37(_compile)
    19/16    0.007    0.000    0.012    0.001 {built-in method _imp.exec_dynamic}
    96656    0.007    0.000    0.007    0.000 {built-in method builtins.isinstance}
    14881    0.007    0.000    0.010    0.000 element.py:238(__setitem__)
     2735    0.006    0.000    0.011    0.000 __init__.py:382(_replace_cdata_list_attribute_values)
    72163    0.006    0.000    0.006    0.000 {method 'append' of 'list' objects}
68770/63269    0.005    0.000    0.006    0.000 {built-in method builtins.len}
       75    0.005    0.000    0.005    0.000 {built-in method marshal.loads}
        1    0.005    0.005    0.005    0.005 {method 'set_default_verify_paths' of '_ssl._SSLContext' objects}
     2735    0.005    0.000    0.030    0.000 __init__.py:987(handle_starttag)
    24841    0.004    0.000    0.006    0.000 _parser.py:167(__getitem__)
     8444    0.004    0.000    0.015    0.000 __init__.py:826(endData)
        1    0.003    0.003    0.028    0.028 dammit.py:128(_populate_class_variables)
 4814/295    0.003    0.000    0.004    0.000 _parser.py:177(getwidth)
 1018/155    0.003    0.000    0.035    0.000 _parser.py:451(_parse_sub)
     8114    0.003    0.000    0.003    0.000 element.py:376(setup)
     2736    0.003    0.000    0.015    0.000 element.py:1618(__init__)
      563    0.003    0.000    0.004    0.000 _compiler.py:241(_optimize_charset)
  309/308    0.003    0.000    0.027    0.000 {built-in method builtins.__build_class__}
     2735    0.003    0.000    0.016    0.000 _lxml.py:412(end)
        1    0.002    0.002    0.002    0.002 {built-in method _scproxy._get_proxies}
        1    0.002    0.002    0.002    0.002 {method '_wrap_socket' of '_ssl._SSLContext' objects}
      888    0.002    0.000    3.633    0.004 ssl.py:1289(recv_into)
3125/3121    0.002    0.000    0.002    0.000 {built-in method __new__ of type object at 0x105afbcf0}
    19176    0.002    0.000    0.002    0.000 {method 'get' of 'dict' objects}
    11390    0.002    0.000    0.003    0.000 _parser.py:260(get)
     2735    0.002    0.000    0.004    0.000 __init__.py:950(_popToTag)
    18645    0.002    0.000    0.002    0.000 _parser.py:239(__next)
     2689    0.002    0.000    0.005    0.000 __init__.py:867(object_was_parsed)
      888    0.002    0.000    3.636    0.004 socket.py:706(readinto)
     2736    0.002    0.000    0.002    0.000 __init__.py:809(pushTag)
     2689    0.002    0.000    0.003    0.000 element.py:1291(__new__)
     2689    0.002    0.000    0.002    0.000 __init__.py:732(string_container)
       75    0.001    0.000    0.001    0.000 {built-in method _io.open_code}
    10999    0.001    0.000    0.002    0.000 _parser.py:163(__len__)
     3871    0.001    0.000    0.003    0.000 _lxml.py:442(data)
     2735    0.001    0.000    0.002    0.000 __init__.py:786(popTag)
     9847    0.001    0.000    0.002    0.000 _parser.py:255(match)
      472    0.001    0.000    0.002    0.000 css_types.py:41(__init__)
     2735    0.001    0.000    0.006    0.000 __init__.py:1053(handle_endtag)
        8    0.001    0.000    0.001    0.000 {built-in method posix.listdir}
5977/5958    0.001    0.000    0.003    0.000 typing.py:426(inner)
     6507    0.001    0.000    0.002    0.000 _parser.py:175(append)
      888    0.001    0.000    3.630    0.004 ssl.py:1129(read)
     4583    0.001    0.000    0.001    0.000 {method 'join' of 'str' objects}
    11827    0.001    0.000    0.001    0.000 _lxml.py:187(_getNsTag)
     2166    0.001    0.000    0.001    0.000 {method 'findall' of 're.Pattern' objects}
      469    0.001    0.000    0.001    0.000 {built-in method posix.stat}
      100    0.001    0.000    0.002    0.000 _compiler.py:470(_get_charset_prefix)
     1434    0.001    0.000    0.001    0.000 __init__.py:906(_linkage_fixer)
     2784    0.001    0.000    0.001    0.000 {method 'match' of 're.Pattern' objects}
       16    0.001    0.000    0.002    0.000 enum.py:1749(convert_class)
       32    0.001    0.000    0.005    0.000 filter.py:129(filter)
      218    0.001    0.000    0.061    0.000 __init__.py:330(_compile)
    13138    0.001    0.000    0.001    0.000 {built-in method builtins.min}
      257    0.001    0.000    0.005    0.000 <frozen importlib._bootstrap_external>:1624(find_spec)
     6426    0.001    0.000    0.001    0.000 {method 'items' of 'dict' objects}
     3304    0.001    0.000    0.003    0.000 filter.py:717(match)
       75    0.001    0.000    0.006    0.000 <frozen importlib._bootstrap_external>:782(_compile_bytecode)
     3990    0.001    0.000    0.001    0.000 __init__.py:1065(handle_data)
      888    0.001    0.000    0.001    0.000 {method '_checkReadable' of '_io._IOBase' objects}
     1293    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:131(_path_join)
       58    0.001    0.000    0.001    0.000 {built-in method posix.getcwd}
     1691    0.001    0.000    0.002    0.000 filter.py:538(matches_tag)
     3182    0.001    0.000    0.001    0.000 _parser.py:292(tell)
     8587    0.001    0.000    0.001    0.000 typing.py:2367(cast)
     7288    0.001    0.000    0.001    0.000 {built-in method builtins.ord}
      325    0.001    0.000    0.002    0.000 css_parser.py:1094(selector_iter)
      888    0.001    0.000    0.001    0.000 {method '_checkClosed' of '_io._IOBase' objects}
     5406    0.001    0.000    0.001    0.000 _parser.py:112(__init__)
     3630    0.001    0.000    0.003    0.000 {built-in method builtins.next}
      975    0.000    0.000    0.001    0.000 _parser.py:311(_class_escape)
      563    0.000    0.000    0.001    0.000 _compiler.py:214(_compile_charset)
      889    0.000    0.000    0.000    0.000 socket.py:744(readable)
      155    0.000    0.000    0.004    0.000 _compiler.py:514(_compile_info)
     3370    0.000    0.000    0.000    0.000 element.py:2763(descendants)
     2857    0.000    0.000    0.000    0.000 {method 'lower' of 'str' objects}
     3724    0.000    0.000    0.000    0.000 {method 'add' of 'set' objects}
      104    0.000    0.000    0.006    0.000 <frozen importlib._bootstrap>:1240(_find_spec)
    52/14    0.000    0.000    0.008    0.001 css_parser.py:911(parse_selectors)
     2481    0.000    0.000    0.001    0.000 css_parser.py:307(match)
      399    0.000    0.000    0.001    0.000 filter.py:612(_attribute_match)
       38    0.000    0.000    0.000    0.000 {method 'search' of 're.Pattern' objects}
     2736    0.000    0.000    0.000    0.000 __init__.py:290(can_be_empty_element)
     2959    0.000    0.000    0.000    0.000 {method 'pop' of 'list' objects}
      694    0.000    0.000    0.001    0.000 _parser.py:371(_escape)
     2617    0.000    0.000    0.000    0.000 {method 'keys' of 'dict' objects}
     2736    0.000    0.000    0.000    0.000 __init__.py:636(set_up_substitutions)
    234/7    0.000    0.000    0.134    0.019 <frozen importlib._bootstrap>:480(_call_with_frames_removed)
       10    0.000    0.000    0.002    0.000 enum.py:894(_convert_)
     3369    0.000    0.000    0.000    0.000 {method 'startswith' of 'str' objects}
     2463    0.000    0.000    0.000    0.000 {method 'find' of 'bytearray' objects}
      155    0.000    0.000    0.059    0.000 _compiler.py:743(compile)
      102    0.000    0.000    0.000    0.000 _compiler.py:389(_mk_bitmap)
      915    0.000    0.000    0.001    0.000 _parser.py:171(__setitem__)
        9    0.000    0.000    0.000    0.000 {built-in method builtins.eval}
     3932    0.000    0.000    0.000    0.000 {built-in method builtins.max}
     1778    0.000    0.000    0.000    0.000 ssl.py:1117(_checkClosed)
     2760    0.000    0.000    0.000    0.000 {method 'rstrip' of 'str' objects}
       75    0.000    0.000    0.021    0.000 <frozen importlib._bootstrap_external>:1093(get_code)
        1    0.000    0.000    0.000    0.000 entities.py:1(<module>)
    105/3    0.000    0.000    0.136    0.045 <frozen importlib._bootstrap>:1349(_find_and_load)
      128    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:304(acquire)
      590    0.000    0.000    0.001    0.000 typing.py:1368(__setattr__)
       77    0.000    0.000    0.002    0.000 css_parser.py:462(parse_attribute_selector)
        3    0.000    0.000    0.000    0.000 {method 'readlines' of '_io._IOBase' objects}
      890    0.000    0.000    0.000    0.000 {method '__exit__' of 'memoryview' objects}
      687    0.000    0.000    0.000    0.000 _parser.py:448(_uniq)
      169    0.000    0.000    0.001    0.000 typing.py:173(_type_check)
     2843    0.000    0.000    0.000    0.000 {method 'endswith' of 'str' objects}
        9    0.000    0.000    0.000    0.000 {built-in method builtins.sorted}
      102    0.000    0.000    0.006    0.000 <frozen importlib._bootstrap_external>:1522(_get_spec)
      706    0.000    0.000    0.001    0.000 filter.py:623(_match_attribute_value_helper)
        9    0.000    0.000    0.001    0.000 __init__.py:358(namedtuple)
      150    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:513(cache_from_source)
      155    0.000    0.000    0.035    0.000 _parser.py:970(parse)
     2735    0.000    0.000    0.000    0.000 _lxml.py:401(_prefix_for_namespace)
     76/1    0.000    0.000    4.242    4.242 {built-in method builtins.exec}
       96    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:733(_init_module_attrs)
      136    0.000    0.000    0.000    0.000 css_parser.py:359(__init__)
      720    0.000    0.000    0.000    0.000 enum.py:1585(_get_value)
     1234    0.000    0.000    0.000    0.000 filter.py:292(matches_string)
      690    0.000    0.000    0.000    0.000 typing.py:1294(_is_dunder)
     1633    0.000    0.000    0.000    0.000 filter.py:259(_base_match)
    105/3    0.000    0.000    0.136    0.045 <frozen importlib._bootstrap>:1304(_find_and_load_unlocked)
      606    0.000    0.000    0.001    0.000 _compiler.py:401(_simple)
      411    0.000    0.000    0.000    0.000 _parser.py:264(getwhile)
      155    0.000    0.000    0.000    0.000 enum.py:1603(__and__)
       89    0.000    0.000    0.001    0.000 typing.py:1423(__init__)
1294/1288    0.000    0.000    0.001    0.000 {built-in method builtins.getattr}
      300    0.000    0.000    0.000    0.000 enum.py:825(__setattr__)
        1    0.000    0.000    0.000    0.000 feedparser.py:472(_parse_headers)
      728    0.000    0.000    0.000    0.000 {built-in method fromkeys}
      128    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:426(_get_module_lock)
  136/131    0.000    0.000    0.002    0.000 css_parser.py:385(freeze)
     96/4    0.000    0.000    0.136    0.034 <frozen importlib._bootstrap>:911(_load_unlocked)
      128    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:372(release)
        4    0.000    0.000    0.001    0.000 feedparser.py:218(_parsegen)
       26    0.000    0.000    0.775    0.030 {method 'readline' of '_io.BufferedReader' objects}
       10    0.000    0.000    0.000    0.000 request.py:408(add_handler)
      155    0.000    0.000    0.023    0.000 _compiler.py:576(_code)
     1182    0.000    0.000    0.000    0.000 {built-in method builtins.hasattr}
        1    0.000    0.000    0.000    0.000 css_match.py:79(_DocumentNav)
        1    0.000    0.000    0.064    0.064 ssl.py:990(_create)
  651/612    0.000    0.000    0.000    0.000 {built-in method builtins.hash}
      155    0.000    0.000    0.000    0.000 {built-in method _sre.compile}
       75    0.000    0.000    0.000    0.000 {method '__exit__' of '_io._IOBase' objects}
     1626    0.000    0.000    0.000    0.000 {built-in method _sre.unicode_iscased}
      257    0.000    0.000    0.000    0.000 enum.py:695(__call__)
  178/147    0.000    0.000    0.000    0.000 _compiler.py:439(_get_literal_prefix)
       94    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:833(spec_from_file_location)
      128    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:124(setdefault)
        1    0.000    0.000    0.002    0.002 parser.py:56(parsestr)
     1381    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:491(_verbose_message)
      255    0.000    0.000    0.000    0.000 enum.py:37(_is_descriptor)
       75    0.000    0.000    0.014    0.000 <frozen importlib._bootstrap_external>:1214(get_data)
      790    0.000    0.000    0.000    0.000 {method 'group' of 're.Match' objects}
       24    0.000    0.000    0.000    0.000 _policybase.py:301(header_source_parse)
      309    0.000    0.000    0.000    0.000 {method 'sub' of 're.Pattern' objects}
        9    0.000    0.000    0.253    0.028 __init__.py:1(<module>)
      652    0.000    0.000    0.000    0.000 {method 'rpartition' of 'str' objects}
      118    0.000    0.000    0.001    0.000 _lxml.py:454(comment)
      496    0.000    0.000    0.000    0.000 {built-in method builtins.setattr}
      225    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:89(_unpack_uint32)
      486    0.000    0.000    0.000    0.000 element.py:2160(get)
       96    0.000    0.000    0.015    0.000 <frozen importlib._bootstrap>:806(module_from_spec)
       12    0.000    0.000    0.000    0.000 {built-in method builtins.compile}
      150    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:137(_path_split)
      587    0.000    0.000    0.000    0.000 _parser.py:82(groups)
       84    0.000    0.000    0.000    0.000 css_parser.py:798(parse_combinator)
       12    0.000    0.000    0.000    0.000 {built-in method builtins.dir}
       40    0.000    0.000    0.001    0.000 typing.py:753(Union)
